chu_name,,Round,Setting,safe_water_pct,latrine_access_pct,flood_freq_pct,elevation_m,tree_cover_pct,shrubland_pct,grassland_pct,cropland_pct,builtup_pct,bare_sparse_pct,rwi
Kwale,,16,Rural,64.1,94.6,0.280901,193.7877817,78.464,7.949,8.883,3.323,1.346,0.036,-0.212774
Mnazimwenga,,1,Rural,17.1,28.5,27.047035,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,2,Rural,1.4,27.8,0.582329,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,3,Rural,0.7,28.6,6.623702,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,4,Rural,1.4,30.4,0.155385,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,5,Rural,4.7,30.6,7.004946,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,6,Rural,6.5,30.3,1.506867,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,8,Rural,1.6,28.5,1.248796,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,10,Rural,3,70.6,11.720478,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,12,Rural,5.9,59.9,10.326395,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,14,Rural,4.7,52.8,0.193297,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mnazimwenga,,16,Rural,14.3,38.6,6.64367,211.7052415,1.628,39.078,58.741,0.483,0.05,0.007,-0.329095
Mutsengo,,1,Rural,17.9,75.4,4.397993,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,2,Rural,4.4,67.4,0.478311,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,3,Rural,9.1,53.5,0.308482,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,4,Rural,6.2,60,0.210388,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,5,Rural,11.5,67.8,0.633714,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,6,Rural,10,61.7,0.325798,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,8,Rural,7.5,59.6,0.105484,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,10,Rural,4.4,76.6,1.025645,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,12,Rural,5.5,74.1,1.0357,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,14,Rural,5.1,78.6,0.238839,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mutsengo,,16,Rural,4.6,64.8,0.54422,241.5018333,24.778,40.219,31.742,2.979,0.265,0.016,-0.482394
Mwele-Kisurutini,,1,Peri-Urban,90.4,84.2,6.625881,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,2,Peri-Urban,97.1,91.6,0.469656,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,3,Peri-Urban,99.1,75.9,2.358223,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,4,Peri-Urban,97.9,87.8,0.429989,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,5,Peri-Urban,97.8,91,1.76242,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,6,Peri-Urban,98.6,91.1,0.613375,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,8,Peri-Urban,97.1,91.3,0.503249,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,10,Peri-Urban,99.9,96.2,2.7918,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,12,Peri-Urban,96.4,93.6,0.698387,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,14,Peri-Urban,97.1,94.9,0.498118,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Mwele-Kisurutini,,16,Peri-Urban,95.5,96.3,1.165992,158.0648202,38.634,34.414,20.922,0.456,5.371,0.203,0.434616
Tsangatsini,,1,Rural,4.7,22.9,18.525132,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Tsangatsini,,2,Rural,2.5,41.6,0.886548,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
Tsangatsini,,3,Rural,0.3,33.1,1.238695,205.6291009,3.584,50.1,45.366,0.758,0.117,0.072,-0.399493
